date,IBM,GE,LLY,F,BAC,KR,ITUB,GG,SIRI,ACB,VALE,PFE,CTL,T,ECA,ABEV,CVS,MRVL,CSCO,MO,BMY,WFC,HBAN
04.01.16,-0.000735768,0.000976359,0.014852325,-0.018057551,0,0.022343279,0.00800644,-0.023028694,-0.010178195,0.046628518,-0.003169572,0.007172946,-0.004790462,0.006962653,0.026924677,0.013953702,0.00289854,-0.032335349,-0.004554047,0.020011016,0.019501279,-0.00037808,0.001867457
05.01.16,-0.005018149,-0.016068534,-0.006321194,-0.04547937,-0.021532692,-0.000950818,-0.00800644,0.018803995,-0.005128211,-0.006857218,-0.079249372,-0.017871606,-0.010863131,-0.015440912,-0.062642821,-0.011614466,-0.012272648,-0.056744279,-0.010707585,0.010533549,-0.017712595,-0.019280894,-0.015985303
06.01.16,-0.017237285,-0.043235336,-0.026306118,-0.031773293,-0.036736235,-0.023581448,-0.031022866,0.074228913,-0.01293684,-0.061485068,-0.071204462,-0.006665665,-0.020433895,-0.016279864,-0.049699622,-0.040529998,-0.014546449,0.009888823,-0.023338297,-0.017560741,-0.028090046,-0.028942175,-0.030801343
07.01.16,-0.009300953,-0.018112651,-0.001967339,-0.012678446,-0.019544609,-0.006595858,0,-0.018247273,-0.00784317,0.026475692,-0.041437241,-0.012820676,-0.01037569,0.000894932,0.03750436,0.016888144,-0.006604932,0.011009304,-0.025105887,0.001718548,-0.025753825,-0.016807121,-0.017751882
08.01.16,0.012081932,0.004559012,-0.012134911,0.018175174,0.007210822,0.011696029,-0.00165975,-0.05598164,0.002621231,-0.002378163,-0.023347342,0.002255509,0.006238387,0.012150093,-0.035383521,-0.016888144,0.014431497,0.012091977,0.019581036,0.020731369,-0.010267866,0.010637306,0.004962808
11.01.16,-0.002480006,0.002097143,0.001618285,0.006245135,0,-0.000969392,0.014839499,-0.031830716,-0.007884396,0.011834517,-0.069274159,-0.002255509,-0.030305401,-0.001473817,-0.032295513,0.021661419,0.008079413,0.019048178,0.003160806,-0.001346315,0.007277347,0.025038281,0.007889579
12.01.16,-0.013102742,-0.014064913,-0.013776028,-0.051907905,-0.02714505,-0.050731934,-0.024856334,-0.024780006,-0.021334122,-0.035932046,-0.060888313,-0.020531898,-0.016372583,-0.004730933,-0.079678164,-0.014388724,-0.016649508,-0.022660431,-0.030032287,-0.027314813,-0.03464105,-0.032251308,-0.043157756
13.01.16,0.013178057,0.02862325,0.040044868,-0.000820027,0.006022109,-0.004346216,0.021577646,-0.067649645,0.002691789,-0.034742945,0.089996469,0.024074024,0.037096513,0.016461205,-0.023981943,0.021506242,0.014766659,0.00601327,0.002436033,0.007586285,0.035743842,0.018133402,0.010204209
14.01.16,-0.021907051,-0.019809568,-0.015875325,-0.018212367,-0.035997077,-0.013932039,-0.041917311,-0.010602568,-0.024490996,-0.070617595,-0.029108156,-0.009690035,-0.025435813,-0.009078919,-0.110226662,-0.041019038,-0.017000574,-0.027965409,-0.043088645,-0.017675048,-0.011560815,-0.036601707,-0.02779391
15.01.16,-0.014875909,0,0.02420019,-0.001672279,-0.015331329,-0.007824846,-0.013793309,-0.047628004,0.008230491,0.037238343,-0.017021672,-0.003902409,-0.003010177,0.015182675,-0.120836494,0.017094475,0.012277843,-0.042827664,0.009690387,0.020762004,0.00682597,-0.012573609,-0.010493316
19.01.16,-0.050016425,-0.017348617,-0.007356085,-0.004192894,-0.039389281,-0.008942726,-0.015748342,0.002030407,-0.016529352,-0.042673069,0,-0.000978018,-0.043121488,-0.017834029,0.067972989,-0.024511007,-0.009937652,0.017857601,-0.040647339,-0.020412407,0.005364484,-0.007077468,-0.023480195
20.01.16,0.00857956,0.020852523,-0.014876523,0.009201287,-0.024400466,-0.018667127,-0.032260902,-0.004065043,0.016529352,-0.005464505,-0.057410853,-0.00261267,0.016942049,0.01870304,0.087487437,-0.037931245,0.003817614,0.024970063,0,0.004011509,-0.006630876,0.002920306,-0.028479496
21.01.16,-0.00334138,-0.012317588,0.013180589,0.010766159,0.014859171,-0.000807933,0.046271626,0.032066941,0.018945068,0.09406403,0.031322441,0.004242107,0.050851041,0.017221966,0.068294602,0.057587878,0.012202929,0.008594362,0.020316291,0.014343943,0.019917548,0.0208191,0.01652926
